,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
306,1986,4,zakspeed,0.0,0.0,12.0
307,1986,4,osella,0.0,0.0,11.0
308,1986,4,minardi,0.0,0.0,13.0
309,1986,5,mclaren,33.0,2.0,1.0
310,1986,5,williams,24.0,1.0,2.0
311,1986,5,team_lotus,19.0,1.0,3.0
312,1986,5,ligier,10.0,0.0,4.0
313,1986,5,ferrari,3.0,0.0,6.0
314,1986,5,benetton,8.0,0.0,5.0
315,1986,5,tyrrell,2.0,0.0,7.0
316,1986,5,brabham,1.0,0.0,8.0
317,1986,5,arrows,0.0,0.0,9.0
318,1986,5,lola,0.0,0.0,10.0
319,1986,5,zakspeed,0.0,0.0,11.0
320,1986,5,osella,0.0,0.0,12.0
321,1986,5,minardi,0.0,0.0,13.0
322,1986,6,williams,33.0,2.0,2.0
323,1986,6,mclaren,34.0,2.0,1.0
324,1986,6,team_lotus,25.0,1.0,3.0
325,1986,6,ligier,12.0,0.0,4.0
326,1986,6,ferrari,10.0,0.0,5.0
327,1986,6,benetton,8.0,0.0,6.0
328,1986,6,tyrrell,2.0,0.0,7.0
329,1986,6,brabham,1.0,0.0,8.0
330,1986,6,arrows,0.0,0.0,9.0
331,1986,6,lola,0.0,0.0,10.0
332,1986,6,zakspeed,0.0,0.0,11.0
333,1986,6,osella,0.0,0.0,12.0
334,1986,6,minardi,0.0,0.0,13.0
335,1986,7,williams,46.0,3.0,1.0
336,1986,7,mclaren,43.0,2.0,2.0
337,1986,7,team_lotus,27.0,1.0,3.0
338,1986,7,ligier,13.0,0.0,4.0
339,1986,7,ferrari,10.0,0.0,5.0
340,1986,7,benetton,8.0,0.0,6.0
341,1986,7,tyrrell,2.0,0.0,7.0
342,1986,7,brabham,1.0,0.0,8.0
343,1986,7,arrows,0.0,0.0,9.0
344,1986,7,lola,0.0,0.0,10.0
345,1986,7,zakspeed,0.0,0.0,11.0
346,1986,7,osella,0.0,0.0,12.0
347,1986,7,minardi,0.0,0.0,13.0
348,1986,8,williams,48.0,3.0,1.0
349,1986,8,mclaren,47.0,2.0,2.0
350,1986,8,team_lotus,36.0,2.0,3.0
351,1986,8,ligier,19.0,0.0,4.0
352,1986,8,ferrari,13.0,0.0,5.0
353,1986,8,benetton,8.0,0.0,6.0
354,1986,8,tyrrell,2.0,0.0,7.0
355,1986,8,brabham,2.0,0.0,8.0
356,1986,8,arrows,0.0,0.0,9.0
357,1986,8,lola,0.0,0.0,10.0
358,1986,8,zakspeed,0.0,0.0,11.0
359,1986,8,osella,0.0,0.0,12.0
360,1986,8,minardi,0.0,0.0,13.0
361,1986,9,williams,61.0,4.0,1.0
362,1986,9,mclaren,56.0,2.0,2.0
363,1986,9,team_lotus,36.0,2.0,3.0
364,1986,9,ligier,22.0,0.0,4.0
365,1986,9,ferrari,13.0,0.0,5.0
366,1986,9,benetton,8.0,0.0,6.0
367,1986,9,tyrrell,2.0,0.0,7.0
368,1986,9,brabham,2.0,0.0,8.0
369,1986,9,arrows,0.0,0.0,9.0
370,1986,9,zakspeed,0.0,0.0,11.0
371,1986,9,lola,0.0,0.0,10.0
372,1986,9,osella,0.0,0.0,12.0
373,1986,9,minardi,0.0,0.0,13.0
374,1986,10,williams,76.0,5.0,1.0
375,1986,10,mclaren,60.0,2.0,2.0
376,1986,10,team_lotus,36.0,2.0,3.0
377,1986,10,ligier,25.0,0.0,4.0
378,1986,10,ferrari,13.0,0.0,5.0
379,1986,10,benetton,8.0,0.0,6.0
380,1986,10,tyrrell,5.0,0.0,7.0
381,1986,10,brabham,2.0,0.0,8.0
382,1986,10,arrows,0.0,0.0,9.0
383,1986,10,lola,0.0,0.0,11.0
384,1986,10,zakspeed,0.0,0.0,10.0
385,1986,10,osella,0.0,0.0,12.0
386,1986,10,minardi,0.0,0.0,13.0
387,1986,11,williams,89.0,6.0,1.0
388,1986,11,mclaren,63.0,2.0,2.0
389,1986,11,team_lotus,42.0,2.0,3.0
390,1986,11,ligier,28.0,0.0,4.0
391,1986,11,ferrari,13.0,0.0,5.0
392,1986,11,benetton,8.0,0.0,6.0
