,season,round,circuit_id,lat,long,country,date,url
115,1992,4,catalunya,41.57,2.26111,Spain,1992-05-03,http://en.wikipedia.org/wiki/1992_Spanish_Grand_Prix
116,1992,5,imola,44.3439,11.7167,Italy,1992-05-17,http://en.wikipedia.org/wiki/1992_San_Marino_Grand_Prix
117,1992,6,monaco,43.7347,7.42056,Monaco,1992-05-31,http://en.wikipedia.org/wiki/1992_Monaco_Grand_Prix
118,1992,7,villeneuve,45.5,-73.5228,Canada,1992-06-14,http://en.wikipedia.org/wiki/1992_Canadian_Grand_Prix
119,1992,8,magny_cours,46.8642,3.16361,France,1992-07-05,http://en.wikipedia.org/wiki/1992_French_Grand_Prix
120,1992,9,silverstone,52.0786,-1.01694,UK,1992-07-12,http://en.wikipedia.org/wiki/1992_British_Grand_Prix
121,1992,10,hockenheimring,49.3278,8.56583,Germany,1992-07-26,http://en.wikipedia.org/wiki/1992_German_Grand_Prix
122,1992,11,hungaroring,47.5789,19.2486,Hungary,1992-08-16,http://en.wikipedia.org/wiki/1992_Hungarian_Grand_Prix
123,1992,12,spa,50.4372,5.97139,Belgium,1992-08-30,http://en.wikipedia.org/wiki/1992_Belgian_Grand_Prix
124,1992,13,monza,45.6156,9.28111,Italy,1992-09-13,http://en.wikipedia.org/wiki/1992_Italian_Grand_Prix
125,1992,14,estoril,38.7506,-9.39417,Portugal,1992-09-27,http://en.wikipedia.org/wiki/1992_Portuguese_Grand_Prix
126,1992,15,suzuka,34.8431,136.541,Japan,1992-10-25,http://en.wikipedia.org/wiki/1992_Japanese_Grand_Prix
127,1992,16,adelaide,-34.9272,138.617,Australia,1992-11-08,http://en.wikipedia.org/wiki/1992_Australian_Grand_Prix
128,1993,1,kyalami,-25.9894,28.0767,South Africa,1993-03-14,http://en.wikipedia.org/wiki/1993_South_African_Grand_Prix
129,1993,2,interlagos,-23.7036,-46.6997,Brazil,1993-03-28,http://en.wikipedia.org/wiki/1993_Brazilian_Grand_Prix
130,1993,3,donington,52.8306,-1.37528,UK,1993-04-11,http://en.wikipedia.org/wiki/1993_European_Grand_Prix
131,1993,4,imola,44.3439,11.7167,Italy,1993-04-25,http://en.wikipedia.org/wiki/1993_San_Marino_Grand_Prix
132,1993,5,catalunya,41.57,2.26111,Spain,1993-05-09,http://en.wikipedia.org/wiki/1993_Spanish_Grand_Prix
133,1993,6,monaco,43.7347,7.42056,Monaco,1993-05-23,http://en.wikipedia.org/wiki/1993_Monaco_Grand_Prix
134,1993,7,villeneuve,45.5,-73.5228,Canada,1993-06-13,http://en.wikipedia.org/wiki/1993_Canadian_Grand_Prix
135,1993,8,magny_cours,46.8642,3.16361,France,1993-07-04,http://en.wikipedia.org/wiki/1993_French_Grand_Prix
136,1993,9,silverstone,52.0786,-1.01694,UK,1993-07-11,http://en.wikipedia.org/wiki/1993_British_Grand_Prix
137,1993,10,hockenheimring,49.3278,8.56583,Germany,1993-07-25,http://en.wikipedia.org/wiki/1993_German_Grand_Prix
138,1993,11,hungaroring,47.5789,19.2486,Hungary,1993-08-15,http://en.wikipedia.org/wiki/1993_Hungarian_Grand_Prix
139,1993,12,spa,50.4372,5.97139,Belgium,1993-08-29,http://en.wikipedia.org/wiki/1993_Belgian_Grand_Prix
140,1993,13,monza,45.6156,9.28111,Italy,1993-09-12,http://en.wikipedia.org/wiki/1993_Italian_Grand_Prix
141,1993,14,estoril,38.7506,-9.39417,Portugal,1993-09-26,http://en.wikipedia.org/wiki/1993_Portuguese_Grand_Prix
142,1993,15,suzuka,34.8431,136.541,Japan,1993-10-24,http://en.wikipedia.org/wiki/1993_Japanese_Grand_Prix
143,1993,16,adelaide,-34.9272,138.617,Australia,1993-11-07,http://en.wikipedia.org/wiki/1993_Australian_Grand_Prix
144,1994,1,interlagos,-23.7036,-46.6997,Brazil,1994-03-27,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix
145,1994,2,okayama,34.915,134.221,Japan,1994-04-17,http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix
146,1994,3,imola,44.3439,11.7167,Italy,1994-05-01,http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix
147,1994,4,monaco,43.7347,7.42056,Monaco,1994-05-15,http://en.wikipedia.org/wiki/1994_Monaco_Grand_Prix
148,1994,5,catalunya,41.57,2.26111,Spain,1994-05-29,http://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix
149,1994,6,villeneuve,45.5,-73.5228,Canada,1994-06-12,http://en.wikipedia.org/wiki/1994_Canadian_Grand_Prix
150,1994,7,magny_cours,46.8642,3.16361,France,1994-07-03,http://en.wikipedia.org/wiki/1994_French_Grand_Prix
151,1994,8,silverstone,52.0786,-1.01694,UK,1994-07-10,http://en.wikipedia.org/wiki/1994_British_Grand_Prix
152,1994,9,hockenheimring,49.3278,8.56583,Germany,1994-07-31,http://en.wikipedia.org/wiki/1994_German_Grand_Prix
153,1994,10,hungaroring,47.5789,19.2486,Hungary,1994-08-14,http://en.wikipedia.org/wiki/1994_Hungarian_Grand_Prix
154,1994,11,spa,50.4372,5.97139,Belgium,1994-08-28,http://en.wikipedia.org/wiki/1994_Belgian_Grand_Prix
155,1994,12,monza,45.6156,9.28111,Italy,1994-09-11,http://en.wikipedia.org/wiki/1994_Italian_Grand_Prix
156,1994,13,estoril,38.7506,-9.39417,Portugal,1994-09-25,http://en.wikipedia.org/wiki/1994_Portuguese_Grand_Prix
157,1994,14,jerez,36.7083,-6.03417,Spain,1994-10-16,http://en.wikipedia.org/wiki/1994_European_Grand_Prix
158,1994,15,suzuka,34.8431,136.541,Japan,1994-11-06,http://en.wikipedia.org/wiki/1994_Japanese_Grand_Prix
159,1994,16,adelaide,-34.9272,138.617,Australia,1994-11-13,http://en.wikipedia.org/wiki/1994_Australian_Grand_Prix
160,1995,1,interlagos,-23.7036,-46.6997,Brazil,1995-03-26,http://en.wikipedia.org/wiki/1995_Brazilian_Grand_Prix
161,1995,2,galvez,-34.6943,-58.4593,Argentina,1995-04-09,http://en.wikipedia.org/wiki/1995_Argentine_Grand_Prix
162,1995,3,imola,44.3439,11.7167,Italy,1995-04-30,http://en.wikipedia.org/wiki/1995_San_Marino_Grand_Prix
163,1995,4,catalunya,41.57,2.26111,Spain,1995-05-14,http://en.wikipedia.org/wiki/1995_Spanish_Grand_Prix
164,1995,5,monaco,43.7347,7.42056,Monaco,1995-05-28,http://en.wikipedia.org/wiki/1995_Monaco_Grand_Prix
165,1995,6,villeneuve,45.5,-73.5228,Canada,1995-06-11,http://en.wikipedia.org/wiki/1995_Canadian_Grand_Prix
166,1995,7,magny_cours,46.8642,3.16361,France,1995-07-02,http://en.wikipedia.org/wiki/1995_French_Grand_Prix
167,1995,8,silverstone,52.0786,-1.01694,UK,1995-07-16,http://en.wikipedia.org/wiki/1995_British_Grand_Prix
168,1995,9,hockenheimring,49.3278,8.56583,Germany,1995-07-30,http://en.wikipedia.org/wiki/1995_German_Grand_Prix
